id,name,code
10256831545345,YG34,null
10256838164481,YG37,null
84913415782400,YL01,YL01
84913415782410,YL02,YL02
84913415782420,YL03,YL03
84913415782430,YL04,YL04
84913415782440,YL05,YL05
84913415782450,YL06,YL06
84913415782460,YL07,YL07
84913415782470,YL08,YL08
84913415782480,YL09,YL09
84913415782490,YL10,YL10
84913415782500,YL11,YL11
84913415782510,YL12,YL12
84913415782520,YL13,YL13
84913415782530,YL14,YL14
84913415782540,YL15,YL15
84913415782550,YL16,YL16
84913415782560,YL17,YL17
84913415782570,YL18,YL18
84913415782580,YL19,YL19
84913415782590,YL20,YL20
84913415782600,YL21,YL21
84913415782610,YL22,YL22
84913415782620,YL23,YL23
84913415782630,YL24,YL24
84913415782640,YL25,YL25
84913415782650,YL26,YL26
84913415782660,YL27,YL27
84913415782670,YL28,YL28
84913415782680,YL29,YL29
84913415782690,YL30,YL30
84913415782700,YL31,YL31
84913415782710,YL32,YL32
84913415782720,YL33,YL33
84913415782730,YL34,YL34
84913415782740,YL35,YL35
84913415782750,YL36,YL36
84913415782760,YL37,YL37
84913415782770,YL38,YL38
84913415782780,YL39,YL39
84913415782790,YL40,YL40
84913415782800,YL41,YL41
84914581667840,YG09,YL01
84914581667850,YG10,YL02
84914581667860,YG01,YL03
84914581667870,YG02,YL04
84914581667880,YG11,YL05
84914581667890,YG03,YL06
84914581667900,YG04,YL07
84914581667910,YG12,YL08
84914581667920,YG05,YL09
84914581667930,YG08,YL10
84914581667940,YG06,YL11
84914581667950,YG14,YL12
84914581667960,YG07,YL13
84914581667970,YG16,YL14
84914581667980,YG18,YL15
84914581667990,YG20,YL16
84914581668000,YG17,YL17
84914581668010,YG22,YL18
84914581668040,YG26,YL21
84914581668050,YG19,YL22
84914581668070,YG30,YL24
84914581668080,YG21,YL25
84914581668090,YG39,YL26
84914581668100,YG33,YL27
84914581668110,YG25,YL28
84914581668120,YG36,YL29
84914581668130,YG29,YL30
84914581668140,YG38,YL31
84914581668150,YG32,YL32
84914581668160,YG24,YL33
84914581668170,YG28,YL34
84914581668180,YG23,YL35
84914581668190,YG31,YL36
84914581668200,YG27a,YL37
84914581668210,YG27b,YL38
84914581668220,YG35,YL39
84914581668230,YG15,YL40
84914581668240,YG13,YL41
1541323906013712384,YG40,YL42
1711327957261426688,B01,null
1711327957261426689,B06,null
1711327957261426690,B02,null
1711327957261426691,B16,null
1711327957261426692,B03,null
1711327957261426693,B17,null
1711327957261426694,B14,null
1711327957261426695,B12,null
1711327957261426696,B07,null
1711327957261426697,B18,null
1711327957261426698,B04,null
1711327957261426699,B13,null
1711327957261426700,B15,null
1711327957261426701,B05,null
1711327957261426702,B08,null
1711327957261426703,B09,null
1711327957261426704,B11,null
1711327957261426705,B10,null
1711327957261426706,C08,null
1711327957261426707,C20,null
1711327957261426708,C17,null
1711327957261426709,C21,null
1711327957261426710,C18,null
1711327957261426711,C19,null
1711327957261426712,C07,null
1711327957261426713,C14,null
1711327957261426714,C15,null
1711327957261426715,C16,null
1711327957261426716,C06,null
1711327957261426717,C12,null
1711327957261426718,C13,null
1711327957261426719,C10,null
1711327957261426720,C11,null
1711327957261426721,C09,null
1711327957261426722,C05,null
1711327957261426723,C04,null
1711327957261426724,C03,null
1711327957261426725,C01,null
1711327957261426726,C02,null
1711331344816218112,C22,null
1711675313697792000,C23,null
1717052118210682880,C25,null
1717052464899268608,C24,null
1717052638174355456,C26,null
1717052836405551104,C28,null
1717053016026619904,C27,null
1717053144477179904,C29,null
